team,wins,losses,pointdiff,opponents
Louisiana Tech,5,7,-84,"[52, 82, 89, 12, 33, 103, 63, 99, 44, 55, 46, 30]"
Louisiana-Lafayette,3,8,-182,"[47, 66, 34, 45, 35, 69, 86, 57, 76, 90, 56]"
Louisiana-Monroe,1,9,-222,"[69, 66, 35, 58, 106, 44, 7, 46, 9, 101]"
Louisville,9,4,89,"[93, 99, 34, 51, 102, 8, 92, 97, 87, 53, 26, 20, 43]"
Marshall,7,4,48,"[42, 100, 1, 73, 41, 18, 53, 114, 94, 101, 16]"
Maryland,9,3,139,"[25, 108, 113, 21, 67, 29, 110, 70, 27, 32, 68, 113]"
Memphis,8,4,113,"[3, 7, 58, 87, 26, 20, 69, 34, 90, 59, 48, 102]"
Miami (Florida),11,2,165,"[29, 93, 26, 28, 83, 92, 113, 94, 109, 29, 80, 45, 13]"
Miami (Ohio),13,1,330,"[16, 48, 1, 14, 49, 20, 73, 14, 10, 38, 18, 42, 23, 71]"
Michigan,10,3,241,"[19, 36, 37, 34, 72, 81, 74, 77, 38, 55, 57, 71, 88]"
Michigan State,8,5,70,"[37, 114, 45, 83, 38, 79, 54, 36, 62, 72, 57, 74, 115]"
Middle Tennessee State,4,7,-42,"[46, 69, 93, 101, 66, 35, 31, 106, 21, 60, 7]"
Minnesota,10,3,218,"[37, 46, 101, 103, 115, 54, 55, 36, 77, 79, 73, 38, 71]"
Mississippi,10,3,157,"[7, 47, 44, 6, 86, 98, 2, 107, 51, 28, 76, 9, 59]"
Mississippi State,2,10,-246,"[58, 77, 44, 51, 107, 2, 34, 94, 9, 6, 43, 102]"
Missouri,7,5,75,"[36, 56, 6, 96, 98, 62, 39, 41, 10, 75, 40, 22]"
Navy,7,4,90,"[19, 0, 27, 102, 8, 107, 97, 83, 98, 72, 82]"
Nebraska,10,3,134,"[106, 76, 101, 79, 96, 55, 39, 41, 60, 90, 40, 22, 95]"
Nevada,5,6,-57,"[30, 89, 45, 64, 33, 77, 103, 111, 82, 12, 85]"
Nevada-Las Vegas,6,6,-16,"[100, 15, 23, 84, 105, 33, 65, 63, 0, 40, 115, 116]"
New Mexico,7,5,37,"[106, 66, 0, 15, 23, 64, 105, 98, 78, 112, 84, 116]"
New Mexico State,2,9,-124,"[106, 7, 69, 35, 65, 56, 46, 6, 47, 78, 95]"
North Carolina,2,10,-142,"[25, 29, 110, 92, 108, 5, 32, 68, 50, 21, 26, 115]"
North Carolina State,7,5,65,"[50, 24, 108, 40, 21, 67, 98, 29, 110, 25, 32, 74]"
North Texas,9,4,73,"[106, 7, 46, 101, 11, 51, 66, 35, 75, 56, 0, 6, 47]"
Northern Illinois,9,2,103,"[50, 114, 73, 10, 27, 39, 14, 19, 100, 2, 16]"
Northwestern,6,7,-63,"[53, 115, 0, 14, 57, 79, 54, 36, 25, 81, 37, 40, 74]"
Notre Dame,5,7,-72,"[29, 88, 112, 15, 61, 55, 91, 80, 13, 92, 54, 81]"
Ohio,1,10,-123,"[42, 53, 114, 18, 57, 1, 49, 70, 39, 43, 16]"
Ohio State,11,2,93,"[71, 111, 14, 68, 84, 38, 81, 55, 41, 79, 54, 37, 115]"
Oklahoma,12,2,387,"[30, 69, 76, 11, 44, 60, 104, 96, 41, 98, 39, 2, 22, 95]"
Oklahoma State,8,4,102,"[46, 58, 116, 40, 95, 98, 41, 62, 11, 96, 75, 89]"
Oregon,8,5,8,"[17, 112, 78, 63, 57, 54, 91, 105, 104, 5, 111, 59, 4]"
Oregon State,7,5,99,"[111, 66, 65, 12, 4, 5, 91, 77, 30, 17, 88, 112]"
Penn State,3,9,-22,"[42, 37, 93, 115, 13, 57, 74, 62, 38, 81, 55, 71]"
Pittsburgh,8,5,78,"[42, 52, 92, 10, 72, 109, 108, 113, 13, 96, 83, 100, 93]"
Purdue,9,4,123,"[31, 36, 71, 14, 38, 72, 79, 4, 110, 54, 37, 74, 115]"
Rice,5,7,-35,"[85, 99, 103, 61, 63, 95, 25, 45, 34, 33, 89, 30]"
Rutgers,5,7,-25,"[16, 13, 61, 92, 80, 109, 113, 52, 24, 55, 8, 93]"
San Diego State,4,6,-13,"[0, 15, 65, 116, 105, 104, 64, 23, 99, 74]"
San Jose State,2,8,-156,"[89, 103, 63, 33, 91, 28, 99, 30, 82, 12]"
South Carolina,5,7,-46,"[3, 46, 28, 44, 108, 43, 21, 107, 31, 58, 94, 6]"
South Florida,5,4,-6,"[3, 48, 97, 20, 51, 90, 2, 8, 26]"
Southern California,12,1,295,"[112, 78, 15, 104, 33, 54, 91, 5, 72, 111, 9, 4, 17]"
Southern Methodist,0,12,-252,"[30, 76, 82, 99, 97, 12, 103, 45, 11, 98, 63, 85]"
Southern Mississippi,9,4,67,"[46, 87, 97, 51, 102, 62, 105, 34, 2, 26, 17, 3, 20]"
Stanford,4,7,-138,"[17, 85, 112, 104, 72, 5, 77, 15, 111, 78, 88]"
Syracuse,6,6,19,"[100, 93, 18, 48, 13, 113, 72, 109, 80, 83, 67, 52]"
Temple,1,10,-155,"[13, 83, 80, 109, 79, 113, 92, 52, 56, 20, 48]"
Tennessee,10,3,126,"[25, 30, 31, 49, 59, 86, 21, 107, 28, 52, 9, 2, 43]"
Texas,10,3,253,"[66, 75, 6, 98, 102, 62, 41, 11, 96, 39, 76, 82, 112]"
Texas A&M,4,8,-161,"[7, 76, 11, 105, 40, 80, 95, 109, 62, 98, 75, 60]"
Texas Christian,11,2,104,"[3, 48, 61, 12, 20, 107, 8, 87, 34, 89, 90, 4, 102]"
Texas Tech,8,5,110,"[22, 89, 61, 65, 75, 96, 39, 68, 11, 58, 60, 76, 95]"
Texas-El Paso,1,10,-234,"[30, 85, 103, 45, 84, 33, 89, 4, 82, 12, 48]"
Toledo,7,4,58,"[16, 114, 27, 70, 80, 49, 14, 64, 92, 19, 10]"
Troy,4,6,-126,"[47, 49, 41, 108, 62, 69, 106, 57, 56, 3]"
Tulane,4,7,-90,"[26, 97, 34, 51, 59, 61, 90, 8, 3, 48, 95]"
Tulsa,7,5,13,"[32, 7, 89, 45, 63, 33, 99, 57, 6, 82, 12, 85]"
UCLA,6,7,-57,"[17, 30, 36, 77, 111, 84, 5, 91, 75, 4, 22, 88, 112]"
Utah,10,2,115,"[17, 106, 77, 90, 65, 84, 116, 15, 64, 96, 23, 0]"
Utah State,3,9,-51,"[7, 47, 101, 56, 116, 105, 5, 62, 65, 69, 66, 35]"
Vanderbilt,1,10,-168,"[32, 31, 58, 9, 61, 43, 86, 97, 94, 28, 59]"
Virginia,8,5,99,"[32, 25, 29, 101, 110, 80, 109, 68, 86, 114, 50, 21, 67]"
Virginia Tech,7,5,118,"[17, 52, 18, 13, 24, 92, 96, 108, 80, 113, 83, 93]"
Wake Forest,5,7,-12,"[32, 50, 26, 24, 68, 81, 21, 29, 25, 108, 13, 67]"
Washington,6,6,-4,"[37, 77, 88, 112, 63, 35, 91, 104, 74, 4, 17, 78]"
Washington State,10,3,137,"[78, 65, 104, 4, 5, 95, 77, 91, 35, 72, 111, 22, 88]"
West Virginia,8,5,79,"[50, 93, 115, 18, 83, 20, 80, 109, 13, 92, 50, 52, 26]"
Western Michigan,4,7,-71,"[19, 14, 49, 108, 10, 73, 70, 27, 100, 24, 55]"
Wisconsin,7,6,49,"[1, 9, 64, 38, 81, 55, 67, 74, 36, 79, 113, 57, 71]"
Wyoming,3,8,-85,"[15, 23, 64, 65, 40, 105, 106, 76, 0, 12, 84]"
