"","Year","Population","Violent crime total","Murder and nonnegligent Manslaughter","Forcible rape","Robbery","Aggravated assault","Property crime total","Burglary","Larceny-theft","Motor vehicle theft","Violent Crime rate","Murder and nonnegligent manslaughter rate","Forcible rape rate","Robbery rate","Aggravated assault rate","Property crime rate","Burglary rate","Larceny-theft rate","Motor vehicle theft rate","State"
"2190",1981,685000,718,12,79,122,505,19922,4348,14587,987,104.8,1.8,11.5,17.8,73.7,2908.3,634.7,2129.5,144.1,"South Dakota"
"2191",1982,691000,684,19,79,118,468,17592,3885,12889,818,99,2.7,11.4,17.1,67.7,2545.9,562.2,1865.3,118.4,"South Dakota"
"2192",1983,7e+05,840,15,119,111,595,16993,3820,12453,720,120,2.1,17,15.9,85,2427.6,545.7,1779,102.9,"South Dakota"
"2193",1984,706000,1041,13,190,105,733,17403,3529,13102,772,147.5,1.8,26.9,14.9,103.8,2465,499.9,1855.8,109.3,"South Dakota"
"2194",1985,708000,967,13,168,121,665,17730,3867,13142,721,136.6,1.8,23.7,17.1,93.9,2504.2,546.2,1856.2,101.8,"South Dakota"
"2195",1986,708000,883,28,125,115,615,18346,3919,13728,699,124.7,4,17.7,16.2,86.9,2591.2,553.5,1939,98.7,"South Dakota"
"2196",1987,709000,849,13,146,87,603,18138,3787,13673,678,119.7,1.8,20.6,12.3,85,2558.3,534.1,1928.5,95.6,"South Dakota"
"2197",1988,715000,813,22,192,87,512,17641,3703,13255,683,113.7,3.1,26.9,12.2,71.6,2467.3,517.9,1853.8,95.5,"South Dakota"
"2198",1989,715000,969,9,229,84,647,18230,3394,14057,779,135.5,1.3,32,11.7,90.5,2549.7,474.7,1966,109,"South Dakota"
"2199",1990,696004,1133,14,239,86,794,19116,3671,14678,767,162.8,2,34.3,12.4,114.1,2746.5,527.4,2108.9,110.2,"South Dakota"
"2200",1991,703000,1281,12,279,132,858,20366,4146,15412,808,182.2,1.7,39.7,18.8,122,2897,589.8,2192.3,114.9,"South Dakota"
"2201",1992,711000,1383,4,368,120,891,19939,3849,15371,719,194.5,0.6,51.8,16.9,125.3,2804.4,541.4,2161.9,101.1,"South Dakota"
"2202",1993,715000,1490,24,318,107,1041,19661,3927,14915,819,208.4,3.4,44.5,15,145.6,2749.8,549.2,2086,114.5,"South Dakota"
"2203",1994,721000,1641,10,303,135,1193,20726,3938,15916,872,227.6,1.4,42,18.7,165.5,2874.6,546.2,2207.5,120.9,"South Dakota"
"2204",1995,729000,1513,13,299,189,1012,20799,3942,15976,881,207.5,1.8,41,25.9,138.8,2853.1,540.7,2191.5,120.9,"South Dakota"
"2205",1996,732000,1297,9,300,138,850,20443,4077,15532,834,177.2,1.2,41,18.9,116.1,2792.8,557,2121.9,113.9,"South Dakota"
"2206",1997,738000,1457,10,357,172,918,22491,4088,17545,858,197.4,1.4,48.4,23.3,124.4,3047.6,553.9,2377.4,116.3,"South Dakota"
"2207",1998,738000,1139,10,258,149,722,18227,3458,14006,763,154.3,1.4,35,20.2,97.8,2469.8,468.6,1897.8,103.4,"South Dakota"
"2208",1999,733133,1227,18,336,103,770,18159,3255,14043,861,167.4,2.5,45.8,14,105,2476.9,444,1915.5,117.4,"South Dakota"
"2209",2000,754844,1259,7,305,131,816,16252,2896,12558,798,166.8,0.9,40.4,17.4,108.1,2153,383.7,1663.7,105.7,"South Dakota"
"2210",2001,758324,1171,7,351,103,710,16473,3087,12571,815,154.4,0.9,46.3,13.6,93.6,2172.3,407.1,1657.7,107.5,"South Dakota"
"2211",2002,760437,1350,11,361,117,861,15992,3034,12139,819,177.5,1.4,47.5,15.4,113.2,2103,399,1596.3,107.7,"South Dakota"
"2212",2003,764905,1329,10,356,104,859,15324,2878,11572,874,173.7,1.3,46.5,13.6,112.3,2003.4,376.3,1512.9,114.3,"South Dakota"
"2213",2004,770621,1319,17,336,112,854,14885,3148,10890,847,171.2,2.2,43.6,14.5,110.8,1931.6,408.5,1413.1,109.9,"South Dakota"
"2214",2005,774883,1387,18,377,145,847,13694,2505,10350,839,179,2.3,48.7,18.7,109.3,1767,323.3,1336,108,"South Dakota"
"2215",2006,781919,2071,30,465,158,1418,13812,3024,9954,834,264.9,3.8,59.5,20.2,181.3,1766.4,386.7,1273,106.7,"South Dakota"
"2216",2007,796214,1926,31,433,118,1344,13829,2647,10398,784,241.9,3.9,54.4,14.8,168.8,1736.8,332.4,1305.9,98.5,"South Dakota"
"2217",2008,804194,2227,37,562,134,1494,13867,2683,10266,918,276.9,4.6,69.9,16.7,185.8,1724.3,333.6,1276.6,114.2,"South Dakota"
"2218",2009,812383,1777,30,501,117,1129,14378,2621,10891,866,218.7,3.7,61.7,14.4,139,1769.9,322.6,1340.6,106.6,"South Dakota"
"2219",2010,816598,2196,23,385,154,1634,15188,3192,11196,800,268.9,2.8,47.1,18.9,200.1,1859.9,390.9,1371.1,98,"South Dakota"
"2220",2011,823593,2105,20,503,167,1415,15299,2927,11423,949,255.6,2.4,61.1,20.3,171.8,1857.6,355.4,1387,115.2,"South Dakota"
"2221",2012,833354,2682,25,585,158,1914,17168,3258,12845,1065,321.8,3,70.2,19,229.7,2060.1,391,1541.4,127.8,"South Dakota"
